S_ID,Gender,Athlete,Sport,SSS,AES/Tok,Transfer,Continuing,Prev_proff,Choice1,Choice2,Choice3,Choice4,Choice5,Choice6
3193,M,,,,,,,Mirabile,2,12,29,18,13,29
3199,F, ,,1,,,,Morrill,9,23,19,15,22,19
3204,M,,,,,,,Westervelt,13,21,18,27,29,18
3213,M,,,,,,,Simek,19,15,11,17,28,11
3215,F,,,,,,,Muth,2,14,9,29,21,9
3218,M,,,,,,,Toutonghi,11,15,23,19,13,23
3225,F,,,,,,,Cameron-Dominguez,3,18,19,7,11,19
3247,F,,,,,,,Mirabile,10,12,7,29,33,7
3265,F,,,,,,,Holzwarth,18,19,28,11,26,28
3282,M,,,,,,,Holzwarth,12,4,13,20,23,13
3283,F,,,,,,,Lochner,7,13,25,29,12,25
3292,M,,,,2,,,Bierzychudek,13,21,14,24,25,14
3297,M,y,MCC,2,,,,JohnsonC,,,,,,
3307,F,,,2,,,,Morrill,18,4,25,11,28,25
3309,M,y,FB,,2,,,Glosser,13,12,19,22,11,19
3332,F,,,,,,,Glosser,7,20,30,17,4,2
3335,M,,, ,,,,Roberts,12,13,20,17,28,20
3339,F,y,WSW,2,,,,Galaty,11,2,21,5,24,21
3345,F,,,,2,,,Schestag,1,12,27,11,29,27
3349,M,,,,,,,Holzwarth,21,13,22,32,11,22
3366,F,,,,,,,Mirabile,11,13,12,23,25,12
3372,M,,,,,,,Cameron-Dominguez,13,17,24,11,2,24
3378,M,,,,,,,Cameron-Dominguez,12,29,13,27,25,13
3387,F,,,,,,, ,,,,,,
3389,F,y,VB,,2,,,Mirabile,11,8,27,7,14,27
3419,F,,,,,,,Williams,12,22,25,11,13,25
3420,M,,,,,2,, ,15,25,28,14,13,28
3423,M,,,,,,,Cameron-Dominguez,3,34,4,32,33,4
3450,F,,, ,,,,JohnsonL,17,12,7,10,29,7
3457,F,,,,,,,Smith,12,7,25,26,28,25
3464,F,,,,,,,Roberts,22,11,13,25,3,13
3467,F,y,SO WTN,,,,,JohnsonL,2,25,13,17,11,13
3468,F,,,,,,,Reed,4,3,32,5,33,32
3470,F,y,VB,,,,,JohnsonL,1,12,7,23,2,7
3476,M,,,,,,,Williams,18,24,25,27,26,25
3478,F,,,,,,,Cameron-Dominguez,9,2,13,31,7,13
3488,M,,,,,,,Holzwarth,13,15,19,21,18,19
3515,M,,,2,,,,Lochner,18,11,28,13,25,28
3540,F,,,2,,,,Cushman,12,7,31,23,2,31
3544,M,,,,,,,Drayton,23,1,5,21,20,5
3563,M,,,1,,,,Fujie,28,2,10,23,11,10
3566,M,,,,2,,,JohnsonC,11,13,6,21,7,12
3569,M,,,1,,,,Glosser,11,1,18,19,23,18
3570,M,,,1,,,,Copenhaver,13,31,12,11,5,12
3578,F,y,WRW,,,1,,Bierzychudek     JohnsonC,19,3,18,10,21,18
3600,F,,,,,,,Drayton,13,4,20,21,12,1
3605,M,,,,,,,Mirabile,21,11,19,5,4,19
3609,F,,,1,,,,Williams,12,25,17,28,18,17
3611,M,,,,,,,Galaty,31,11,33,18,21,33
3614,F,,,,,,,Cameron-Dominguez,9,2,11,14,21,11
3627,F,,,2,,,,Roberts,12,25,31,20,15,31
3634,M,y,BB,,,,,Cameron-Dominguez,11,29,4,19,20,4
3685,M,,,,,,,Ritchey,21,22,12,28,17,12
3698,F,,,,,,,Schestag,29,7,12,13,2,12
3702,F,,,,,,,Cushman,31,25,12,18,26,12
